duration,speed,slope,n,top_box_x,top_box_z,random,seed,max_iterations,use_powell,ankle_d,ankle_k,cost,time_taken
1.0,5.0,30,100,0.0025,0.0025,True,0,5,False,23.578125,0.4124999999999983,0.34076531894433787,29.306215833999886
1.0,5.0,40,100,0.0025,0.0025,True,0,5,False,15.09375,0.9093750000000003,0.4908336388029626,27.713891502997285
1.0,5.0,30,50,0.0025,0.0025,True,0,5,False,23.578125,1.065624999999999,0.35951331673981407,22.558311353001045
